,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
142,"James helped Mrs. Thomas with housework since she has broken her legs, and he wanted to save money for a bike.",James will come over to your house on Saturdays to help you with your housework.,"James helps Mrs Thomas with cleaning up the leaves in the yard, taking out the garbage, and taking her dog Oscar for a walk. Mrs Thomas appreciates the weekend work and will buy a bike after she gets her bike.",James helped Mrs Thomas clean up the leaves in the yard and take Oscar for a walk. James also helps with the housework and is saving up for a bike.
143,James helps Mrs. Thomas to do chores because James wanted to save money and Mrs. Thomas is incapable.,James will come over to your house on Saturdays to help you with your housework.,"James helps Mrs Thomas with cleaning up the leaves in the yard, taking out the garbage, and taking her dog Oscar for a walk. Mrs Thomas appreciates the weekend work and will buy a bike after she gets her bike.",James helped Mrs Thomas clean up the leaves in the yard and take Oscar for a walk. James also helps with the housework and is saving up for a bike.
144,"#Person1# and #Person2# are talking about the low temperature at night, although spring has come.",The weather is getting warmer.,#Person1# tells #Person2# it's cold at night in #Person1#'s apartment. #Person1# thinks #Person1# will sit in the sum shining in through the windows.,#Person1# thinks spring is finally here but it's still very cold at night. #Person2# tells #Person1# it's freezing in #Person1#'s apartment at night and #Person1# thinks #Person1# will follow #Person1#'s cats' example and sit in the sum that shining in through the windows.
145,#Person1# and #Person2# agree that it still felt very cold in spring.,The weather is getting warmer.,#Person1# tells #Person2# it's cold at night in #Person1#'s apartment. #Person1# thinks #Person1# will sit in the sum shining in through the windows.,#Person1# thinks spring is finally here but it's still very cold at night. #Person2# tells #Person1# it's freezing in #Person1#'s apartment at night and #Person1# thinks #Person1# will follow #Person1#'s cats' example and sit in the sum that shining in through the windows.
146,#Person1# and #Person2# talk about the weather and how to keep warm.,The weather is getting warmer.,#Person1# tells #Person2# it's cold at night in #Person1#'s apartment. #Person1# thinks #Person1# will sit in the sum shining in through the windows.,#Person1# thinks spring is finally here but it's still very cold at night. #Person2# tells #Person1# it's freezing in #Person1#'s apartment at night and #Person1# thinks #Person1# will follow #Person1#'s cats' example and sit in the sum that shining in through the windows.
147,#Person1# and Mike are discussing what kind of emotion should be expressed by Mike in this play. They have different understandings.,The cut is a cut.,"Mike tells #Person2# that Jason and Laura had been together for 3 years. Mike thinks Jason would react the way most guys would and then later on, they would see his real feelings. #Person2# is not sure about that. They will try it.",Mike wants to get more anger from Mike because he's acting hurt and sad. Mike thinks Jason would react the way most guys would and then they would see his real feelings. Mike suggests they try it my way.
148,#Person1# and Mike have a disagreement on how to act out a scene. #Person1# proposes that Mike can try to act in #Person1#'s way.,The cut is a cut.,"Mike tells #Person2# that Jason and Laura had been together for 3 years. Mike thinks Jason would react the way most guys would and then later on, they would see his real feelings. #Person2# is not sure about that. They will try it.",Mike wants to get more anger from Mike because he's acting hurt and sad. Mike thinks Jason would react the way most guys would and then they would see his real feelings. Mike suggests they try it my way.
149,"#Person1# wants Mike to act more angry, but Mike thinks he should act both angry and sad.",The cut is a cut.,"Mike tells #Person2# that Jason and Laura had been together for 3 years. Mike thinks Jason would react the way most guys would and then later on, they would see his real feelings. #Person2# is not sure about that. They will try it.",Mike wants to get more anger from Mike because he's acting hurt and sad. Mike thinks Jason would react the way most guys would and then they would see his real feelings. Mike suggests they try it my way.
150,#Person1# takes a taxi to the Friendship Hotel for something important.,The taxi will arrive at Friendship Hotel at 20 yuan.,#Person1# takes a taxi to Friendship Hotel. #Person2# will fast the speed and pays #Person1# 20 yuan.,#Person1# asks #Person2# to fast the speed of the taxi to Friendship Hotel. #Person2# will pay 20 yuan and the change.
151,#Person2# drives #Person1# to the Friendship Hotel as fast as #Person2# can be.,The taxi will arrive at Friendship Hotel at 20 yuan.,#Person1# takes a taxi to Friendship Hotel. #Person2# will fast the speed and pays #Person1# 20 yuan.,#Person1# asks #Person2# to fast the speed of the taxi to Friendship Hotel. #Person2# will pay 20 yuan and the change.
152,The taxi driver takes #Person1# to the Friendship Hotel quickly.,The taxi will arrive at Friendship Hotel at 20 yuan.,#Person1# takes a taxi to Friendship Hotel. #Person2# will fast the speed and pays #Person1# 20 yuan.,#Person1# asks #Person2# to fast the speed of the taxi to Friendship Hotel. #Person2# will pay 20 yuan and the change.
153,#Person1# doesn't have any change for the bus because #Person1# bought some chips. #Person2# suggests #Person1# get a transfer from the bus driver.,"#Person1#: I'm broke, and I have to catch another bus. #Person2#: I'm sorry, but I don't have any change. #Person1#: I'm going to get a transfer from the bus driver.",#Person1# is broke and needs to catch another bus. #Person2# suggests #Person1# get a transfer from the bus driver.,#Person1# is broke and needs to catch another bus. #Person2# suggests #Person1# get a transfer from the bus driver.
154,"#Person1#'s broke, so #Person2# suggests #Person1# get a free bus transfer.","#Person1#: I'm broke, and I have to catch another bus. #Person2#: I'm sorry, but I don't have any change. #Person1#: I'm going to get a transfer from the bus driver.",#Person1# is broke and needs to catch another bus. #Person2# suggests #Person1# get a transfer from the bus driver.,#Person1# is broke and needs to catch another bus. #Person2# suggests #Person1# get a transfer from the bus driver.
